Lat,Lon,CDD,HDD
40.667221,-73.923932,1292.430786,4434.958008
40.746168,-73.886864,1271.055298,4461.206543
40.686994,-74.000497,1250.875000,4487.589844
40.841734,-73.910227,1088.174927,4749.377930
40.887104,-73.903259,1019.952881,4891.804688
40.688647,-73.947055,1292.430786,4434.958008
40.739339,-73.981704,1299.786743,4421.714355
40.689259,-73.987424,1294.508667,4433.241699
40.872795,-73.866600,1058.876709,4771.130859
40.704835,-73.806149,1135.361328,4580.833984
40.761532,-73.998778,1253.947266,4468.735352
40.760480,-73.964909,1253.947266,4468.735352
40.601043,-73.964335,1271.081543,4461.968262
40.768794,-73.963079,1253.947266,4468.735352
40.603082,-73.749208,1067.038818,4653.286133
40.705458,-74.007507,1250.875000,4487.589844
40.707967,-74.011118,1250.875000,4487.589844
40.851928,-73.912105,1088.174927,4749.377930
40.693974,-73.955325,1292.430786,4434.958008
40.755226,-73.980123,1253.947266,4468.735352
40.827679,-73.921192,1199.753662,4563.494629
40.637719,-74.027781,1244.426758,4484.958008
40.848123,-73.910148,1088.174927,4749.377930
40.774014,-73.978137,1253.947266,4468.735352
40.839731,-73.913802,1088.174927,4749.377930
40.879494,-73.876749,1019.952881,4891.804688
40.813785,-73.961535,1173.158813,4598.009766
40.886660,-73.913044,1019.952881,4891.804688
40.890399,-73.915702,1019.952881,4891.804688
40.744163,-73.990487,1299.786743,4421.714355
40.763900,-73.985447,1253.947266,4468.735352
40.773467,-73.958287,1271.116577,4458.273926
40.819149,-73.843628,1136.768311,4632.115234
40.766458,-73.964056,1253.947266,4468.735352
40.592863,-73.938980,1247.323730,4469.472168
40.782603,-73.983675,1253.947266,4468.735352
40.671892,-73.933271,1292.430786,4434.958008
40.757171,-73.978607,1253.947266,4468.735352
40.593698,-73.785272,1104.970337,4602.928711
40.647041,-73.956923,1261.567505,4476.884766
40.769507,-73.984975,1253.947266,4468.735352
40.733251,-73.784295,1092.063599,4641.114746
40.763123,-73.971220,1253.947266,4468.735352
40.745571,-73.917862,1310.610718,4415.648926
40.754292,-73.979369,1253.947266,4468.735352
40.818666,-73.936778,1199.753662,4563.494629
40.713719,-73.981434,1299.786743,4421.714355
40.756859,-73.972637,1253.947266,4468.735352
40.748035,-73.991990,1299.786743,4421.714355
40.897852,-73.862885,980.428955,4930.490723
40.782838,-73.958071,1271.116577,4458.273926
40.769956,-73.953746,1271.116577,4458.273926
40.778010,-73.975185,1253.947266,4468.735352
40.741362,-74.003206,1241.051514,4502.415527
40.797054,-73.968728,1173.158813,4598.009766
40.689200,-73.982862,1294.508667,4433.241699
40.777213,-73.958885,1253.947266,4468.735352
40.659951,-73.871731,1166.811890,4550.552734
40.751969,-73.880452,1232.920654,4501.563477
40.758903,-73.969757,1253.947266,4468.735352
40.825758,-73.926339,1199.753662,4563.494629
40.739697,-73.897100,1271.055298,4461.206543
40.731418,-73.845431,1207.817017,4525.531250
40.739825,-73.989987,1299.786743,4421.714355
40.556517,-74.162722,1175.541016,4586.022461
40.718855,-73.948774,1310.610718,4415.648926
40.749728,-73.978916,1299.786743,4421.714355
40.861972,-73.925794,1112.312378,4719.492188
40.802734,-73.956187,1199.753662,4563.494629
40.609174,-73.955158,1247.323730,4469.472168
40.601304,-73.750523,1104.970337,4602.928711
40.797349,-73.970563,1173.158813,4598.009766
40.743095,-74.003398,1241.051514,4502.415527
40.632946,-73.966054,1272.350342,4478.152832
40.631778,-74.030195,1244.426758,4484.958008
40.782558,-73.984345,1253.947266,4468.735352
40.697088,-73.994498,1294.508667,4433.241699
40.884315,-73.877956,1019.952881,4891.804688
40.853381,-73.868581,1058.876709,4771.130859
40.743772,-73.919815,1310.610718,4415.648926
40.753009,-73.889166,1232.920654,4501.563477
40.794994,-73.965638,1173.158813,4598.009766
